"ts","throughput_bps"
2026-06-10 09:13:45.000 +0700,14385392
2026-06-10 09:13:46.000 +0700,15446704
2026-06-10 09:13:47.000 +0700,17361680
2026-06-10 09:13:48.000 +0700,19138224
2026-06-10 09:13:49.000 +0700,27778688
2026-06-10 09:13:50.000 +0700,27882512
2026-06-10 09:13:51.000 +0700,32958352
2026-06-10 09:13:52.000 +0700,12864848
2026-06-10 09:13:53.000 +0700,28332416
2026-06-10 09:13:54.000 +0700,28816928
2026-06-10 09:13:55.000 +0700,27744080
2026-06-10 09:13:56.000 +0700,29566768
2026-06-10 09:13:57.000 +0700,28251664
2026-06-10 09:13:58.000 +0700,26152112
2026-06-10 09:13:59.000 +0700,27767152
2026-06-10 09:14:00.000 +0700,28840000
2026-06-10 09:14:01.000 +0700,29451408
2026-06-10 09:14:02.000 +0700,28874608
2026-06-10 09:14:03.000 +0700,26671232
2026-06-10 09:14:04.000 +0700,26763520
2026-06-10 09:14:05.000 +0700,27651792
2026-06-10 09:14:06.000 +0700,25921392
2026-06-10 09:14:07.000 +0700,29312976
2026-06-10 09:14:08.000 +0700,30178176
2026-06-10 09:14:09.000 +0700,27524896
2026-06-10 09:14:10.000 +0700,26255936
2026-06-10 09:14:11.000 +0700,29278368
2026-06-10 09:14:12.000 +0700,29716736
2026-06-10 09:14:13.000 +0700,28170912
2026-06-10 09:14:14.000 +0700,26832736
2026-06-10 09:14:15.000 +0700,29762880
2026-06-10 09:14:16.000 +0700,30132032
2026-06-10 09:14:17.000 +0700,29451408
2026-06-10 09:14:18.000 +0700,28020944
2026-06-10 09:14:19.000 +0700,29647520
2026-06-10 09:14:20.000 +0700,27248032
2026-06-10 09:14:21.000 +0700,28493920
2026-06-10 09:14:22.000 +0700,19763376
2026-06-10 09:14:23.000 +0700,26775056
2026-06-10 09:14:24.000 +0700,28724640
2026-06-10 09:14:25.000 +0700,27824832
2026-06-10 09:14:26.000 +0700,26636624
2026-06-10 09:14:27.000 +0700,27005776
2026-06-10 09:14:28.000 +0700,26244400
2026-06-10 09:14:29.000 +0700,27374928
2026-06-10 09:14:30.000 +0700,29128400
2026-06-10 09:14:31.000 +0700,27201888
2026-06-10 09:14:32.000 +0700,26936560
2026-06-10 09:14:33.000 +0700,30951088
2026-06-10 09:14:34.000 +0700,29797488
2026-06-10 09:14:35.000 +0700,29405264
2026-06-10 09:14:36.000 +0700,31112592
2026-06-10 09:14:37.000 +0700,28655424
2026-06-10 09:14:38.000 +0700,28044016
2026-06-10 09:14:39.000 +0700,27305712
2026-06-10 09:14:40.000 +0700,27813296
2026-06-10 09:14:41.000 +0700,29082256
2026-06-10 09:14:42.000 +0700,30904944
2026-06-10 09:14:43.000 +0700,30512720
2026-06-10 09:14:44.000 +0700,29728272
2026-06-10 09:14:45.000 +0700,29774416
2026-06-10 09:14:46.000 +0700,27098064
2026-06-10 09:14:47.000 +0700,28655424
2026-06-10 09:14:48.000 +0700,31170272
2026-06-10 09:14:49.000 +0700,33339040
2026-06-10 09:14:50.000 +0700,33869696
2026-06-10 09:14:51.000 +0700,34296528
2026-06-10 09:14:52.000 +0700,34215776
2026-06-10 09:14:53.000 +0700,33996592
2026-06-10 09:14:54.000 +0700,33627440
2026-06-10 09:14:55.000 +0700,30962624
2026-06-10 09:14:56.000 +0700,28943824
2026-06-10 09:14:57.000 +0700,33858160
2026-06-10 09:14:58.000 +0700,30074352
2026-06-10 09:14:59.000 +0700,24456320
