"ts","throughput_bps"
2026-06-13 19:32:09.000 +0700,2128832
2026-06-13 19:32:08.000 +0700,2128304
2026-06-13 19:32:07.000 +0700,3194304
2026-06-13 19:32:06.000 +0700,2130416
2026-06-13 19:32:05.000 +0700,3194832
2026-06-13 19:32:04.000 +0700,2130416
2026-06-13 19:32:03.000 +0700,3195360
2026-06-13 19:32:02.000 +0700,2130416
2026-06-13 19:32:01.000 +0700,2786224
2026-06-13 19:32:00.000 +0700,2543248
2026-06-13 19:31:59.000 +0700,2130944
2026-06-13 19:31:58.000 +0700,3199056
2026-06-13 19:31:57.000 +0700,2130944
2026-06-13 19:31:56.000 +0700,3198528
2026-06-13 19:31:55.000 +0700,2134112
2026-06-13 19:31:54.000 +0700,3200640
2026-06-13 19:31:53.000 +0700,2135696
2026-06-13 19:31:52.000 +0700,2136224
2026-06-13 19:31:51.000 +0700,3203280
2026-06-13 19:31:50.000 +0700,2138336
2026-06-13 19:31:49.000 +0700,3210672
2026-06-13 19:31:48.000 +0700,2140448
2026-06-13 19:31:47.000 +0700,3215424
2026-06-13 19:31:46.000 +0700,13143936
2026-06-13 19:31:45.000 +0700,23856448
2026-06-13 19:31:44.000 +0700,38380272
2026-06-13 19:31:43.000 +0700,38437952
2026-06-13 19:31:42.000 +0700,38276448
2026-06-13 19:31:41.000 +0700,38311056
2026-06-13 19:31:40.000 +0700,38749424
2026-06-13 19:31:39.000 +0700,37595824
2026-06-13 19:31:38.000 +0700,189440
2026-06-13 19:31:37.000 +0700,38818640
2026-06-13 19:31:36.000 +0700,39833808
2026-06-13 19:31:35.000 +0700,39822272
2026-06-13 19:31:34.000 +0700,39926096
2026-06-13 19:31:32.000 +0700,39995312
2026-06-13 19:31:31.000 +0700,40076064
2026-06-13 19:31:30.000 +0700,39995312
2026-06-13 19:31:28.000 +0700,39914560
2026-06-13 19:31:27.000 +0700,43146112
2026-06-13 19:31:26.000 +0700,38368736
2026-06-13 19:31:25.000 +0700,38391808
2026-06-13 19:31:23.000 +0700,38161088
2026-06-13 19:31:22.000 +0700,38818640
2026-06-13 19:31:20.000 +0700,38587920
2026-06-13 19:31:19.000 +0700,38403344
2026-06-13 19:31:18.000 +0700,24539280
2026-06-13 19:31:17.000 +0700,38287984
2026-06-13 19:31:15.000 +0700,38345664
2026-06-13 19:31:14.000 +0700,38311056
2026-06-13 19:31:13.000 +0700,38207232
2026-06-13 19:31:12.000 +0700,38449488
2026-06-13 19:31:11.000 +0700,38587920
2026-06-13 19:31:10.000 +0700,38634064
2026-06-13 19:31:09.000 +0700,38657136
2026-06-13 19:31:08.000 +0700,38461024
2026-06-13 19:31:07.000 +0700,38449488
2026-06-13 19:31:06.000 +0700,38553312
2026-06-13 19:31:05.000 +0700,23789440
2026-06-13 19:31:04.000 +0700,38449488
2026-06-13 19:31:02.000 +0700,38680208
2026-06-13 19:31:01.000 +0700,38703280
2026-06-13 19:31:00.000 +0700,38541776
2026-06-13 19:30:59.000 +0700,38518704
2026-06-13 19:30:58.000 +0700,38784032
2026-06-13 19:30:57.000 +0700,37572752
2026-06-13 19:30:56.000 +0700,42535440
2026-06-13 19:30:54.000 +0700,38461024
2026-06-13 19:30:53.000 +0700,38368736
2026-06-13 19:30:52.000 +0700,38437952
2026-06-13 19:30:51.000 +0700,38495632
2026-06-13 19:30:50.000 +0700,38426416
2026-06-13 19:30:49.000 +0700,38391808
2026-06-13 19:30:48.000 +0700,38541776
2026-06-13 19:30:47.000 +0700,38841712
2026-06-13 19:30:46.000 +0700,38195696
2026-06-13 19:30:45.000 +0700,38218768
2026-06-13 19:30:44.000 +0700,24343168
2026-06-13 19:30:43.000 +0700,38380272
2026-06-13 19:30:42.000 +0700,38403344
2026-06-13 19:30:41.000 +0700,38922464
2026-06-13 19:30:40.000 +0700,38114944
2026-06-13 19:30:39.000 +0700,38714816
2026-06-13 19:30:38.000 +0700,38380272
2026-06-13 19:30:37.000 +0700,38034192
2026-06-13 19:30:36.000 +0700,22797344
2026-06-13 19:30:35.000 +0700,37999584
2026-06-13 19:30:34.000 +0700,38760960
2026-06-13 19:30:33.000 +0700,39314688
2026-06-13 19:30:32.000 +0700,38161088
2026-06-13 19:30:31.000 +0700,38449488
2026-06-13 19:30:30.000 +0700,38391808
2026-06-13 19:30:29.000 +0700,38461024
2026-06-13 19:30:28.000 +0700,38045728
2026-06-13 19:30:27.000 +0700,37365104
2026-06-13 19:30:26.000 +0700,39856880
2026-06-13 19:30:25.000 +0700,45927024
2026-06-13 19:30:24.000 +0700,40029920
2026-06-13 19:30:23.000 +0700,38864784
2026-06-13 19:30:22.000 +0700,38657136
2026-06-13 19:30:21.000 +0700,38449488
2026-06-13 19:30:20.000 +0700,38530240
2026-06-13 19:30:19.000 +0700,38253376
2026-06-13 19:30:18.000 +0700,36211504
2026-06-13 19:30:17.000 +0700,2122496
2026-06-13 19:30:15.000 +0700,3184272
2026-06-13 19:30:14.000 +0700,2123552
2026-06-13 19:30:13.000 +0700,3185328
2026-06-13 19:30:12.000 +0700,2123552
2026-06-13 19:30:11.000 +0700,2306496
2026-06-13 19:30:10.000 +0700,3002912
2026-06-13 19:30:09.000 +0700,2123552
2026-06-13 19:30:08.000 +0700,3185328
2026-06-13 19:30:07.000 +0700,2122496
2026-06-13 19:30:06.000 +0700,3184272
2026-06-13 19:30:05.000 +0700,2123024
2026-06-13 19:30:04.000 +0700,3186384
2026-06-13 19:30:03.000 +0700,2124608
2026-06-13 19:30:02.000 +0700,3186384
2026-06-13 19:30:01.000 +0700,2124608
2026-06-13 19:30:00.000 +0700,2246992
2026-06-13 19:29:59.000 +0700,3063472
2026-06-13 19:29:58.000 +0700,2124080
2026-06-13 19:29:57.000 +0700,3187440
2026-06-13 19:29:56.000 +0700,2125664
2026-06-13 19:29:55.000 +0700,3187968
2026-06-13 19:29:54.000 +0700,2126192
2026-06-13 19:29:53.000 +0700,3187968
2026-06-13 19:29:52.000 +0700,2127248
2026-06-13 19:29:51.000 +0700,3189552
2026-06-13 19:29:50.000 +0700,2127776
2026-06-13 19:29:49.000 +0700,2128304
2026-06-13 19:29:48.000 +0700,3191664
2026-06-13 19:29:47.000 +0700,2128304
2026-06-13 19:29:46.000 +0700,3192720
2026-06-13 19:29:45.000 +0700,2128304
2026-06-13 19:29:44.000 +0700,3195888
2026-06-13 19:29:43.000 +0700,30054224
2026-06-13 19:29:42.000 +0700,12530896
2026-06-13 19:29:41.000 +0700,38391808
2026-06-13 19:29:40.000 +0700,38472560
2026-06-13 19:29:39.000 +0700,38680208
2026-06-13 19:29:38.000 +0700,38403344
2026-06-13 19:29:37.000 +0700,38853248
2026-06-13 19:29:36.000 +0700,38576384
2026-06-13 19:29:35.000 +0700,38461024
2026-06-13 19:29:34.000 +0700,37711184
2026-06-13 19:29:33.000 +0700,24630832
2026-06-13 19:29:32.000 +0700,38484096
2026-06-13 19:29:31.000 +0700,38276448
2026-06-13 19:29:30.000 +0700,38322592
2026-06-13 19:29:29.000 +0700,38610992
2026-06-13 19:29:28.000 +0700,38726352
2026-06-13 19:29:27.000 +0700,38541776
2026-06-13 19:29:26.000 +0700,37999584
2026-06-13 19:29:25.000 +0700,23108080
2026-06-13 19:29:24.000 +0700,38357200
2026-06-13 19:29:23.000 +0700,38068800
2026-06-13 19:29:22.000 +0700,39268544
2026-06-13 19:29:21.000 +0700,40006848
2026-06-13 19:29:20.000 +0700,40076064
2026-06-13 19:29:19.000 +0700,40629792
2026-06-13 19:29:18.000 +0700,39464656
2026-06-13 19:29:17.000 +0700,39695376
2026-06-13 19:29:16.000 +0700,38726352
2026-06-13 19:29:15.000 +0700,37676576
2026-06-13 19:29:14.000 +0700,43319888
2026-06-13 19:29:13.000 +0700,38057264
2026-06-13 19:29:12.000 +0700,38241840
2026-06-13 19:29:11.000 +0700,38461024
2026-06-13 19:29:10.000 +0700,38622528
2026-06-13 19:29:09.000 +0700,38287984
2026-06-13 19:29:08.000 +0700,38311056
2026-06-13 19:29:07.000 +0700,38138016
2026-06-13 19:29:06.000 +0700,38380272
2026-06-13 19:29:05.000 +0700,38437952
2026-06-13 19:29:04.000 +0700,38437952
2026-06-13 19:29:03.000 +0700,37791936
2026-06-13 19:29:02.000 +0700,24412384
2026-06-13 19:29:01.000 +0700,38380272
2026-06-13 19:29:00.000 +0700,38057264
2026-06-13 19:28:59.000 +0700,37941904
2026-06-13 19:28:58.000 +0700,38287984
2026-06-13 19:28:57.000 +0700,38645600
2026-06-13 19:28:56.000 +0700,38484096
2026-06-13 19:28:55.000 +0700,38495632
2026-06-13 19:28:54.000 +0700,38161088
2026-06-13 19:28:53.000 +0700,38184160
2026-06-13 19:28:52.000 +0700,37665040
2026-06-13 19:28:51.000 +0700,38587920
2026-06-13 19:28:50.000 +0700,38599456
2026-06-13 19:28:49.000 +0700,38368736
2026-06-13 19:28:48.000 +0700,38161088
2026-06-13 19:28:47.000 +0700,23501040
2026-06-13 19:28:46.000 +0700,38299520
2026-06-13 19:28:45.000 +0700,38276448
2026-06-13 19:28:44.000 +0700,38345664
2026-06-13 19:28:43.000 +0700,38253376
2026-06-13 19:28:42.000 +0700,38357200
2026-06-13 19:28:41.000 +0700,38045728
2026-06-13 19:28:40.000 +0700,38691744
2026-06-13 19:28:39.000 +0700,38461024
2026-06-13 19:28:38.000 +0700,37884224
2026-06-13 19:28:37.000 +0700,38322592
2026-06-13 19:28:36.000 +0700,38253376
2026-06-13 19:28:35.000 +0700,37757328
